"Cell_ID","Sample","UMAP1","UMAP2","time","lineage","Cell_Type","r","theta","x","y"
"cell449","Simulation",2.9058380307164,6.83365580943599,11.7141367113287,1,"A",102.677763124232,224.038130594417,-73.8127175257213,-71.3751061061484
"cell397","Simulation",2.82331897630356,7.11047789958492,11.8687777807365,1,"A",103.353277658054,6.66914507746696,102.653920656436,12.0030236409435
"cell868","Simulation",2.78473379029892,6.49390647319332,11.9578116890591,1,"A",103.740206863844,254.54742279835,-27.6406136618618,-99.9901344961037
"cell214","Simulation",2.65737130059861,7.03545758632198,12.1652815637994,1,"A",104.636291062993,141.997555503622,-82.4517740296068,64.4240511516474
"cell694","Simulation",2.60642458810471,7.10932729152217,12.2832324050655,1,"A",105.142328129821,233.403255231678,-62.6836756231838,-84.4136598834954
"cell564","Simulation",2.87550737275742,7.05295035747066,12.4178728325757,1,"A",105.717006906732,41.7901011463255,78.8216640949295,70.4502009835614
"cell344","Simulation",2.82010986222886,6.56549212840572,13.7775679531425,1,"A",111.35443932699,266.134689794853,-7.5065396268887,-111.101138700997
"cell432","Simulation",3.11084081544541,6.70379588511959,13.8298924144921,1,"A",111.565689945623,67.064524255693,43.476507259918,102.745785750663
"cell946","Simulation",2.64304031743668,6.78627011683956,13.8869477878794,1,"A",111.795585821138,146.425365339965,-93.1442978627049,61.8255027052365
"cell190","Simulation",2.52222635163926,7.20777079967037,13.9050536366045,1,"A",111.868441809762,56.8796049803495,61.124930137486,93.6925353944031
"cell196","Simulation",2.64399685277604,6.61432788280025,13.9145625618697,1,"A",111.906685705916,135.941576566547,-80.4196242391311,77.818958762757
"cell226","Simulation",2.8133955182042,7.02021405604854,14.1033449552821,1,"A",112.663261357702,263.169818026945,-13.3987060568198,-111.863689979174
"cell308","Simulation",2.73939277543686,6.77662322429195,16.1100171378996,1,"A",120.411857489658,44.5367804914713,85.8296153737314,84.4529013646481
"cell716","Simulation",2.58615793599747,6.57180640605465,16.1149607702466,1,"A",120.430331284199,58.2605039980263,63.3533416581113,102.419816412511
"cell568","Simulation",2.65514590158127,7.04917046931758,17.2197003831311,1,"A",124.489880491621,132.870774809271,-84.6963326592694,91.2373913419733
"cell356","Simulation",2.49357284917496,6.9955448856689,18.0898826707313,1,"A",127.596608119723,271.948218410835,4.33780923779872,-127.522852127274
"cell911","Simulation",2.50681449784897,6.76358601954952,18.527909257988,1,"A",129.132173884703,121.834850208834,-68.1136894391208,109.707081098625
"cell340","Simulation",2.70846583261155,6.75033662227169,19.6999588688294,1,"A",133.153907122346,151.96079925634,-117.525124690202,62.5923960916896
"cell140","Simulation",2.74873639955185,6.51655290034786,19.7911291165715,1,"A",133.461665675633,101.597292423248,-26.8300161915575,130.737012494837
"cell339","Simulation",2.75724436654709,6.50224730876461,20.2053319875726,1,"A",134.851024426273,241.364967143163,-64.6244678053087,-118.357411891677
"cell927","Simulation",2.58569003953598,6.61394259837642,20.4623224173932,1,"A",135.705895876538,249.813581546769,-46.8288105924855,-127.370140433883
"cell884","Simulation",2.40477635278366,6.98338172343746,21.9536650586387,1,"A",140.564215050541,96.8725569359958,-16.8200998378787,139.554228865408
"cell329","Simulation",2.51641990556382,6.88580272105709,22.0003245886386,1,"A",140.713510828828,221.650777151808,-105.142458926181,-93.5166052673595
"cell797","Simulation",2.83543707742356,7.07045648005977,22.1079876060544,1,"A",141.057395571622,145.114548336715,-115.708976278738,80.6760289923563
"cell372","Simulation",2.40591492070816,7.02252099421993,24.2555370429335,1,"A",147.749732110214,50.1527340710163,94.6696470980729,113.435626048286
"cell729","Simulation",2.85623671426438,6.91889140513912,26.2959979404776,1,"A",153.838870726582,124.564172392711,-87.2772402149658,126.684969459242
"cell569","Simulation",2.67641808404587,5.69728181270137,26.3163923165202,1,"A",153.898515538221,120.834123641253,-78.8813527792593,132.145697124735
"cell666","Simulation",2.85515787019394,6.2528314342834,27.8424841482941,1,"A",158.297933446602,149.089502384886,-135.81500481091,81.3174040515139
"cell264","Simulation",2.47711386098526,6.68591687587276,28.2106326859629,1,"A",159.341047496766,216.360407536849,-128.317930136917,-94.4673394499073
"cell499","Simulation",2.84112407579087,7.04392192271724,29.9422212458398,1,"A",164.158457355251,175.112656513229,-163.561600234879,13.9857802735983
"cell856","Simulation",2.43296386613511,6.45528361705318,30.4222987563601,1,"A",165.469238472666,229.044088153169,-108.461461761311,-124.964715793395
"cell933","Simulation",3.09658767594956,6.55690810588375,31.9640466951054,1,"A",169.610265094996,309.288027444854,107.400469040939,-131.273688435197
"cell840","Simulation",2.86421229257248,6.58283278850093,32.0340793032861,1,"A",169.795969837206,196.356008565053,-162.924407119483,-47.8153629885049
"cell908","Simulation",2.77527810945176,6.74234578517452,32.2714998816175,1,"A",170.424029683187,69.6805063448846,59.1805500722708,159.818685974448
"cell402","Simulation",2.47435893430375,7.20664117244258,32.7303548931703,1,"A",171.631347381104,97.987739816308,-23.850097929173,169.966150255344
"cell177","Simulation",2.40247418298386,7.12654206660762,34.0552615717149,1,"A",175.070658348403,98.4470145497471,-25.7169580169351,173.171514646314
"cell210","Simulation",3.04642512216233,6.83355519679561,34.5169986828483,1,"A",176.253507240462,343.122665304691,168.662005428352,-51.1705651664117
"cell607","Simulation",2.34199108495377,6.65382239726558,34.5744038585941,1,"A",176.400009843352,39.811125677079,135.503292699667,112.941671407338
"cell544","Simulation",2.52216209783219,6.99350020793453,37.678136332223,1,"A",184.147556864056,243.593971598893,-81.895836055025,-164.934516508368
"cell738","Simulation",2.57976283445023,6.17063186076656,37.9165330120389,1,"A",184.729206436976,230.508732022718,-117.480499796856,-142.559502939355
"cell579","Simulation",2.84652687921189,6.22440097239986,38.5719894846761,1,"A",186.319055751709,97.6575098466128,-24.8272456547217,184.657516525617
"cell415","Simulation",2.42214276208542,6.31686541942134,38.7975220412631,1,"A",186.862970748987,216.140943830833,-150.904674251456,-110.206847002347
"cell728","Simulation",2.43016209020279,6.11885211375728,39.1328293522378,1,"A",187.668714539781,321.56262382865,146.998669484579,-116.665922988581
"cell11","Simulation",2.31592943086289,6.60354421046749,39.3284291488879,1,"A",188.13714740582,102.233413159847,-39.8652756545792,183.865021227485
"cell132","Simulation",3.06478287591599,6.59104392436519,39.3368267568334,1,"A",188.157232338143,121.77049160935,-99.0681724987867,159.964500058296
"cell679","Simulation",2.61074973954819,6.81114194301143,39.6088699461506,1,"A",188.806734391376,120.227739717811,-95.0525462607584,163.134902460761
"cell276","Simulation",2.63203384294175,5.90928838161007,40.1209247477616,1,"A",190.023241402165,343.583616837859,182.276602413531,-53.7035612000256
"cell734","Simulation",2.57996370210312,6.00427768138424,40.7908114686249,1,"A",191.60305405124,107.048462480307,-56.1742736594419,183.183463502022
"cell349","Simulation",2.19001974477433,6.49798200038448,41.0148445938418,1,"A",192.128499016824,184.310687156394,-191.584992602604,-14.441286089467
"cell625","Simulation",2.30446590795182,6.57233092692867,41.9156934875224,1,"A",194.226991272506,105.207402091473,-50.9484294216405,187.425669742003
"cell787","Simulation",2.41075148000382,5.9810938587524,44.0904315426292,1,"A",199.201878475998,52.4242694769055,121.475199769318,157.877054157248
"cell382","Simulation",2.86432911767624,6.25396344569698,44.7921049918956,1,"A",200.780712451934,359.41183431074,200.770133508639,-2.06106371304295
"cell801","Simulation",2.64879037751816,5.94077155498043,44.998281414249,1,"A",201.242275063725,241.497235167772,-96.0330485902151,-176.850521207299
"cell112","Simulation",2.5492478789296,6.25866601375118,45.9656388618507,1,"A",203.393891195546,4.83701543882489,202.669522556022,17.1504986102353
"cell768","Simulation",2.84101249589585,6.37201497462764,46.9099399574546,1,"A",205.472494416428,320.935741625726,159.536997263277,-129.487035899068
"cell902","Simulation",1.94414820089005,6.58866450694576,46.9624880756277,1,"A",205.58754648097,204.425204470754,-187.187840923804,-85.0114785093739
"cell657","Simulation",1.98371447934769,6.61635491755977,47.422179243855,1,"A",206.591290521816,75.5614173319191,51.5118998972566,200.066202764096
"cell24","Simulation",2.71503354921006,6.20736644176021,48.0332208654051,1,"A",207.918009751115,283.922236645594,50.0260632608335,-201.810038832283
"cell235","Simulation",1.9278255881276,6.53282019999996,48.2728668017293,1,"A",208.436033644752,53.9011429622769,122.806392137016,168.416656456081
"cell906","Simulation",2.47892083539627,6.07182643321529,49.9248988929104,1,"A",211.972660981598,76.5745849069208,49.2156813722296,206.18008078058
"cell560","Simulation",2.50712396516465,6.46726415065303,50.1070256964712,1,"A",212.358948779711,219.87892546691,-162.964477703461,-136.15763707432
"cell545","Simulation",2.48481227769516,5.89356562999263,50.1532196117634,1,"A",212.456813612995,215.385199338198,-173.211240442879,-123.02749219108
"cell631","Simulation",2.74029948129319,5.9856309643127,51.8221391562332,1,"A",215.962786703195,11.8889005109668,211.330150210866,44.4914919109544
"cell142","Simulation",2.70763041391037,5.87508723643795,51.862283986097,1,"A",216.046419983038,126.483415151015,-128.459057547517,173.707587979026
"cell993","Simulation",2.2055525959935,5.92502210048214,51.9575539866142,1,"A",216.244765457925,133.727318309247,-149.474228980981,156.266610184307
"cell200","Simulation",2.32923581018113,5.55520961192623,52.4826908101255,1,"A",217.334814811417,330.304914051667,188.793103995212,-107.664226245145
"cell479","Simulation",2.77051164521836,5.71548554805294,52.5337571445623,1,"A",217.440523891261,101.7120932322,-44.1391156584293,212.91340939217
"cell690","Simulation",2.2987663926091,6.61709973720089,52.9036779764567,1,"A",218.204743712897,221.941566579044,-162.306548365308,-145.842019104752
"cell854","Simulation",2.74469019784592,6.24999520686641,54.4073707690702,1,"A",221.284056570199,268.292676564306,-6.59293843171131,-221.185819742132
"cell316","Simulation",2.40642370595597,6.43240353969112,54.6960590631972,1,"A",221.870352135831,302.463789163157,119.092567731353,-187.198860755162
"cell976","Simulation",2.43044354333542,6.09086987880245,55.2692461461404,1,"A",223.029866904696,11.7475361097604,218.358334338389,45.4088026322063
"cell720","Simulation",2.01627244367264,5.80130240825191,55.997310640575,1,"B",224.494052430165,124.18936570175,-126.149911252478,185.698086870892
"cell708","Simulation",2.58293690099381,5.94180247691646,56.053616806119,1,"B",224.606890200428,23.0021741520613,206.74840221443,87.7687490356747
"cell772","Simulation",1.88165249242447,6.42619130519405,57.2858278142638,1,"B",227.062205205616,254.450491117314,-60.8687793664092,-218.751541094642
"cell90","Simulation",2.32427563085221,5.71155927089229,57.8890120130359,1,"B",228.254486947644,142.287056045607,-180.568782950585,139.624587503336
"cell338","Simulation",2.51408423795365,5.34218308833614,58.5175202496906,1,"B",229.490235575986,198.669095328078,-217.41516502491,-73.4602902384173
"cell116","Simulation",2.66006400003098,6.09411523250118,58.5682957211684,1,"B",229.589777971606,67.1140333078802,89.2870777712399,211.516627932945
"cell881","Simulation",2.42534913434647,5.62891385463253,59.7174513999281,1,"B",231.831202084481,309.070469532162,146.117583919294,-179.987104897888
"cell247","Simulation",2.2367536009755,6.58548829463497,59.874581229427,1,"B",232.136001314928,232.615058440715,-140.945326752584,-184.449282929188
"cell446","Simulation",1.90140511407517,5.75707671550289,60.1693226931877,1,"B",232.706661752235,304.194318149239,130.781459451815,-192.4801295914
"cell89","Simulation",2.57968415631913,6.2592749348022,61.559922077727,1,"B",235.380393979521,141.654632650316,-184.605401164574,146.03005078004
"cell245","Simulation",2.56373943700455,5.67067382243648,61.6671372404478,1,"B",235.585278649586,52.6975532155484,142.769948896432,187.395744905035
"cell31","Simulation",2.56632317914627,6.1663212528564,62.1276525881226,1,"B",236.463289601812,102.216501329094,-50.0371184717818,231.108576440493
"cell992","Simulation",2.44878305806778,5.72830150035396,62.238918152919,1,"B",236.674938127439,296.086532464251,104.072614652801,-212.565089365485
"cell194","Simulation",2.30037106885575,6.52257201579586,62.4870531128322,1,"B",237.1462582491,333.57333669439,212.365599931785,-105.542407434936
"cell151","Simulation",2.43602468385361,6.22984979060665,63.036110139672,1,"B",238.185849969524,234.348534252495,-138.827361109401,-193.544472752659
"cell571","Simulation",2.4618900002446,6.80798528102413,64.0402784452658,1,"B",240.075510206142,6.91450634971261,238.32941543744,28.9022548945095
"cell919","Simulation",2.24864222421311,6.08382747081295,64.3761580463545,1,"B",240.704263031877,77.1170942019671,53.6672506160767,234.645196952826
"cell72","Simulation",1.81248130216263,5.83068559077755,65.3883163333578,1,"B",242.589127332661,357.009698543698,242.258812987946,-12.6551266170452
"cell606","Simulation",2.15887655629776,5.48602149394527,65.7638334668268,1,"B",243.28471000074,205.325410980731,-219.903328199203,-104.067172379467
"cell19","Simulation",2.6049438895192,5.98826787379757,66.3168564072213,1,"B",244.30548656651,212.778398282826,-205.404914295775,-132.264855307993
"cell299","Simulation",1.67151286019944,6.14967677501217,66.3496033894893,1,"B",244.365797628351,100.778884822503,-45.7011204575168,240.054266030554
"cell81","Simulation",2.17504801168106,5.38019940761104,66.4128327376584,1,"B",244.482206845187,84.1124585922807,25.078066195241,243.192598694532
"cell531","Simulation",2.43583359136246,5.54969594386592,66.5915195282088,1,"B",244.810881243845,293.3857327234,97.1701752126915,-224.700522083334
"cell192","Simulation",2.42267228974961,5.42677638438717,67.1299522615249,1,"B",245.7986107271,48.4918970894068,162.897120446649,184.069240193907
"cell384","Simulation",2.34794976129197,5.53275439647213,68.0223109353326,1,"B",247.42691818353,350.943132089451,244.34214482219,-38.9486341928848
"cell616","Simulation",2.03981055631302,6.04731509593502,68.6645269164495,1,"B",248.592184560988,51.539119547233,154.619405286196,194.655885433109
"cell376","Simulation",2.23752893819474,6.60924861339107,69.4998554659117,1,"B",250.099719950504,278.549189614132,37.1794360051719,-247.320762285858
"cell169","Simulation",2.30617155446671,5.60287043956295,69.8980192743679,1,"B",250.81510589861,274.623918961734,20.2194691073738,-249.998780828921
"cell459","Simulation",2.11927093877457,6.4159550419189,70.8748935994475,1,"B",252.561684028878,37.8030013851821,199.554771409826,154.807291324003
"cell54","Simulation",1.58299781694077,5.71099803355709,72.4481833692587,1,"B",255.349495852905,304.268699325621,143.780832477531,-211.022361953422
"cell298","Simulation",2.29053558721207,6.6169786205627,72.637042524374,1,"B",255.682103933648,49.6709108445793,165.471552437047,194.916658102919
"cell44","Simulation",1.93468715562485,6.41541001704708,72.7872182103317,1,"B",255.946276373184,87.2184624988586,12.4205405705044,255.644727231435
"cell263","Simulation",2.40837396993302,6.08374545482174,72.9414407241449,1,"B",256.217284061264,353.918851464987,254.775511824664,-27.1428669489939
"cell783","Simulation",1.90182484998368,5.50093648341671,73.2479004272626,1,"B",256.754961752517,312.579099750146,173.722310318768,-189.059962133832
"cell312","Simulation",2.72442294969223,5.89086053279415,74.3153570791751,1,"B",258.619066140255,256.901650372893,-58.6090939297214,-251.890443407436
"cell737","Simulation",2.22738184346817,5.35466287044063,74.4383266579162,1,"B",258.832946110275,212.183362198994,-219.062712473663,-137.862329864999
"cell633","Simulation",2.33940424337052,6.27370927241817,75.141468297426,1,"B",260.052535976259,106.291368668899,-72.9504875924276,249.610792690762
"cell691","Simulation",1.73848177804612,5.32466409114376,76.9203263666581,1,"B",263.112701574805,95.6448449939489,-25.8802460620545,261.836793812023
"cell86","Simulation",2.3265904368367,5.42465636638179,77.5591471896484,1,"B",264.203013742621,248.91299508512,-95.0563337303881,-246.51070136694
"cell179","Simulation",2.35231508626603,5.6936936130859,78.2957677177453,1,"B",265.454687180262,327.022249968722,222.685160807221,-144.490519073857
"cell287","Simulation",2.60399212255143,6.00164029506221,78.3177917715339,1,"B",265.492019831822,66.8060777429491,104.562547538565,244.034190732827
"cell766","Simulation",2.26384879960679,5.64086577800289,78.3788653858657,1,"B",265.595517370454,278.972482345998,41.4222998146873,-262.345520116775
"cell916","Simulation",1.8990352333989,5.72094962504879,78.9507453818692,1,"B",266.562695896636,44.0333433542401,191.641364050858,185.281565268671
"cell652","Simulation",1.75512172593735,5.54012391475216,79.4171865683208,1,"B",267.348962802343,38.6657927557826,208.747020915568,167.033377414109
"cell903","Simulation",2.27216507806443,5.43603799251094,79.8147530034068,1,"B",268.01730858858,56.4952249825001,147.947290893079,223.483504582474
"cell580","Simulation",1.69221093072556,5.94831416514888,79.9054078263365,1,"B",268.169474481535,288.001093855128,82.8737941187856,-255.042744049032
"cell332","Simulation",2.437763470551,5.85829732326046,80.0307953198432,1,"B",268.379797652243,317.155808480456,196.777571025967,-182.500146106735
"cell959","Simulation",2.03404631032608,5.10205552485958,80.416177438391,1,"B",269.025202712593,327.382690580562,226.597128360683,-145.011382702339
"cell593","Simulation",2.28790130033158,5.34841296580806,81.018580543488,1,"B",270.030965796775,215.358206508681,-220.223788243363,-156.263257296402
"cell171","Simulation",2.35732736005448,5.16516253856197,81.6767746179013,1,"B",271.125611398317,149.689389243722,-234.063309955754,136.833709621086
"cell388","Simulation",1.9250955761876,5.55973193553463,82.3768291699355,1,"B",272.285045959087,0.921971462666988,272.249794741992,4.38126875288772
"cell285","Simulation",1.31184037341736,5.4632396450378,82.7496466173347,1,"B",272.900498269243,99.7478453535587,-46.205449574525,268.960477366503
"cell465","Simulation",2.36440290822648,5.46045730021968,82.8776165851387,1,"B",273.111433167169,164.418191369623,-263.074014492558,73.3615555001007
"cell780","Simulation",2.42005814923905,5.32321307567134,83.8134326121675,1,"B",274.649029401072,283.626097887754,64.7031397282212,-266.918701218669
"cell47","Simulation",2.03767158403061,5.62197921184078,84.286163981526,1,"B",275.422489247653,277.944739228114,38.0683291587267,-272.778939616746
"cell765","Simulation",2.24573172940873,5.433198904071,84.5887498776749,1,"B",275.916427365076,338.155975285918,256.105683783126,-102.663302225697
"cell56","Simulation",1.64866532697342,5.73455712703243,85.3302369635501,1,"B",277.123101287488,94.634549561888,-22.391538540221,276.217002135996
"cell859","Simulation",1.71446933164261,5.47866198924556,86.6754050254799,1,"B",279.298880275113,117.502679983154,-128.977458479065,247.735099909587
"cell333","Simulation",2.2220857323613,5.66047999766842,87.1059362351925,1,"B",279.991683111612,101.239008056,-54.5709835608916,274.622195688677
"cell627","Simulation",1.56705655469559,5.88931701091304,88.6135122139933,1,"B",282.404251017215,240.828841840848,-137.649531256719,-246.586227387905
"cell217","Simulation",2.08426346196793,5.7613353481628,88.619908323633,1,"B",282.414442780942,26.2773998826742,253.230052968601,125.029827500437
"cell754","Simulation",1.94103826894425,5.67235801127925,88.91913539862,1,"B",282.890830283977,347.333326181397,276.005904774945,-62.0319465124372
"cell980","Simulation",1.57672025575303,5.35807416347042,89.5679997769835,1,"B",283.921115451608,302.194730909541,151.272731760899,-240.266020121199
"cell836","Simulation",1.74654306783341,5.58733746913448,89.7647804448425,1,"B",284.232831320307,145.470746280625,-234.161491528017,161.110826097232
"cell35","Simulation",1.86000778093003,6.50956151393428,90.1757670093873,1,"B",284.882765902833,276.887048659846,34.1609845521973,-282.827186534239
"cell423","Simulation",1.40368344201706,5.48613831904903,90.251136087716,1,"B",285.001793817064,129.142141174525,-179.906362231269,221.042356365598
"cell941","Simulation",1.67777444734238,5.22920033839717,91.1998704815069,1,"B",286.495869836471,179.00736448355,-286.452875439438,4.96322333107925
"cell971","Simulation",2.28823675527237,5.63901708034053,91.338374180801,1,"B",286.713335516018,90.235292930156,-1.17742409274302,286.710917886338
"cell301","Simulation",1.77424826039933,5.71347043422237,91.3912030329342,1,"B",286.796239043752,278.983815182,44.7847981228288,-283.277963468284
"cell127","Simulation",1.84441592111252,6.47889802363887,93.0282545864015,1,"B",289.353467454187,50.2118495386094,185.171981365558,222.343802353281
"cell60","Simulation",2.24136235131882,5.25378034022823,93.5882862305184,1,"B",290.223116941891,112.305676219985,-110.153550483019,268.506336840402
"cell712","Simulation",2.3733810366597,5.30806395915523,94.3091094922591,1,"B",291.338632081352,31.5034272428602,248.397913162012,152.238875717704
"cell581","Simulation",1.85822071447037,5.41488311198726,94.9621107041601,1,"B",292.345514133096,281.243121810257,56.9993592073315,-286.735021725107
"cell289","Simulation",2.12868060483597,5.15345046428218,95.8917929778957,1,"B",293.773064932962,260.461356975138,-48.6819473542753,-289.711376514457
"cell20","Simulation",1.33566142930649,5.4732436886169,96.3525081500549,1,"B",294.477940319898,24.5181032828987,267.92492280548,122.202672125968
"cell810","Simulation",1.93655373468064,5.08462188151851,96.6461571161183,1,"B",294.92633216535,138.646691814065,-221.38637475217,194.857934091989
"cell362","Simulation",1.85364343537949,6.4319953670837,96.6887149333238,1,"B",294.99125993831,309.390389258042,187.20171510978,-227.981054695227
"cell858","Simulation",2.01565887345932,5.6711630573608,97.5185196990398,1,"B",296.25439697857,28.328745206818,260.774790678314,140.581564494842
"cell430","Simulation",2.07434965982102,5.57760999110714,98.2264068569745,1,"B",297.327708381303,51.630036290735,184.562267385424,233.110565244967
"cell69","Simulation",1.34605868472718,5.23547599223629,98.2293135838344,1,"B",297.332107626222,250.538437971845,-99.0634450879969,-280.344102974806
"cell585","Simulation",1.36582400216721,5.27845761683956,99.0668210005058,1,"B",298.596950588005,167.749024992809,-291.797150239472,63.360571435068
"cell251","Simulation",1.77917959108017,5.28446290400997,100.447068590114,1,"B",300.669855042209,98.1890556961298,-42.8273750206944,297.604061934543
"cell944","Simulation",1.91455580606125,6.53959653285518,100.689234863136,1,"B",301.03207698985,180.269911950454,-301.02873672473,-1.41811238478718
"cell595","Simulation",1.79364992990158,5.14669463542476,101.848311302716,1,"B",302.759773042001,15.5956619884819,291.613043665427,81.3960253122333
"cell982","Simulation",1.54215117110871,5.52384087947383,102.166208854146,1,"B",303.231904602288,284.007041724399,73.3945971948612,-294.215603038546
"cell784","Simulation",1.78088392629288,4.95924136546627,104.642672671753,1,"B",306.885003551132,90.9118073992431,-4.88357446975477,306.846144028203
"cell261","Simulation",1.60763575448655,5.51560304072872,105.061048057019,1,"B",307.497875198053,254.779481068254,-80.7288797411784,-296.711629746883
"cell68","Simulation",1.38528015031479,5.13582560924068,105.079355295146,1,"B",307.524665296348,51.2841967865825,192.343728090803,239.948557048719
"cell280","Simulation",1.50112171783112,5.2828688373901,105.312240777439,1,"B",307.865257376818,318.791947010905,231.61390525808,-202.820155780425
"cell775","Simulation",1.83567323102616,6.43261620906368,105.322410780902,1,"B",307.880122292447,168.515635281801,-301.716076864138,61.2990918735811
"cell163","Simulation",1.61504651918076,5.72780892756954,105.37150918575,1,"B",307.951876544331,264.426837125793,-29.9072787338328,-306.49618749001
"cell752","Simulation",1.58594014062546,5.2576470127441,106.397771605562,1,"B",309.447886476876,278.224023487419,44.2646397682116,-306.265629986775
"cell467","Simulation",1.39151038541459,4.75455710795894,106.833373252784,1,"B",310.080692606788,121.856390442699,-163.658110025826,263.374370336751
"cell535","Simulation",1.37001110925339,5.30771348384395,107.0836697255,1,"B",310.443719139155,302.209672741592,165.472439168612,-262.667422092159
"cell837","Simulation",1.85054089440964,5.59594199565425,107.194295844327,1,"B",310.604034519667,145.880134105682,-257.138487695584,174.225900501396
"cell378","Simulation",1.63736792220734,5.63809583095089,108.069726760881,1,"B",311.869771033989,247.274180380628,-120.482070498667,-287.657478215232
"cell973","Simulation",1.96888150586747,5.12291476634517,108.562185442268,1,"B",312.579536915073,178.471331717446,-312.468290498637,8.33872477664312
"cell395","Simulation",1.45857264413498,5.33071086314693,108.745500460979,1,"B",312.843332060764,79.05283883214,59.4100895091656,307.150438188511
"cell951","Simulation",1.24800964011811,5.14315888789669,108.814654373287,1,"B",312.942788598744,239.828820694238,-157.280394891382,-270.547715419607
